Ki tu: 	 xuat hien 3 lan.
Ki tu: 
 xuat hien 26 lan.
Ki tu:   xuat hien 99 lan.
Ki tu: ! xuat hien 3 lan.
Ki tu: " xuat hien 14 lan.
Ki tu: # xuat hien 1 lan.
Ki tu: % xuat hien 2 lan.
Ki tu: ( xuat hien 14 lan.
Ki tu: ) xuat hien 14 lan.
Ki tu: * xuat hien 2 lan.
Ki tu: + xuat hien 4 lan.
Ki tu: , xuat hien 7 lan.
Ki tu: . xuat hien 5 lan.
Ki tu: 0 xuat hien 4 lan.
Ki tu: 1 xuat hien 2 lan.
Ki tu: 2 xuat hien 2 lan.
Ki tu: 4 xuat hien 1 lan.
Ki tu: 7 xuat hien 2 lan.
Ki tu: : xuat hien 1 lan.
Ki tu: ; xuat hien 11 lan.
Ki tu: < xuat hien 2 lan.
Ki tu: = xuat hien 10 lan.
Ki tu: > xuat hien 1 lan.
Ki tu: C xuat hien 1 lan.
Ki tu: E xuat hien 2 lan.
Ki tu: F xuat hien 2 lan.
Ki tu: I xuat hien 1 lan.
Ki tu: K xuat hien 1 lan.
Ki tu: L xuat hien 5 lan.
Ki tu: N xuat hien 2 lan.
Ki tu: O xuat hien 1 lan.
Ki tu: S xuat hien 1 lan.
Ki tu: U xuat hien 2 lan.
Ki tu: [ xuat hien 4 lan.
Ki tu: \ xuat hien 3 lan.
Ki tu: ] xuat hien 4 lan.
Ki tu: a xuat hien 10 lan.
Ki tu: c xuat hien 17 lan.
Ki tu: d xuat hien 4 lan.
Ki tu: e xuat hien 11 lan.
Ki tu: f xuat hien 10 lan.
Ki tu: g xuat hien 6 lan.
Ki tu: h xuat hien 13 lan.
Ki tu: i xuat hien 27 lan.
Ki tu: k xuat hien 2 lan.
Ki tu: l xuat hien 5 lan.
Ki tu: m xuat hien 6 lan.
Ki tu: n xuat hien 24 lan.
Ki tu: o xuat hien 18 lan.
Ki tu: p xuat hien 5 lan.
Ki tu: r xuat hien 11 lan.
Ki tu: s xuat hien 10 lan.
Ki tu: t xuat hien 17 lan.
Ki tu: u xuat hien 10 lan.
Ki tu: v xuat hien 1 lan.
Ki tu: w xuat hien 2 lan.
Ki tu: x xuat hien 3 lan.
Ki tu: y xuat hien 1 lan.
Ki tu: { xuat hien 5 lan.
Ki tu: | xuat hien 2 lan.
Ki tu: } xuat hien 5 lan.
